,Text,Latitude,Longitude,Sentiment,label,clase,Estado
670923,"El PRI sí calumnió a Nestora Salgado y tendrá que pagarle 443 mil pesos, resuelve el Tribunal Electoral https://t.co/w1UWeFW68T",19.380613,-99.1614805,negativo,0,No Depresión,Ciudad de México
207799,No busques problemas donde no los hay...,19.4299345,-99.2115105,neutro,0,No Depresión,Ciudad de México
653607,"@Badumann @danielpinera Aunque, las de esta casa...  Las pago yo. https://t.co/QJYx5NRrNB",19.4299345,-99.2115105,positivo,0,No Depresión,Ciudad de México
846810,"Siempre uso la conjugación de la palabra perico para referirme a hablar/hablar mucho.   Ejemplo: no paraba de periquear. Dícese que no dejaba de hablar.   Pero en la cabeza de la gente, escuchan... https://t.co/r7WJKRV5oq",19.432836,-99.153366,negativo,0,No Depresión,Ciudad de México
221171,Me siento como si me hibieran desahuciado...,19.2362445,-99.08179,negativo,0,No Depresión,Ciudad de México
69074,"Llegando al fin... (@ Pueblo Santa Fe in México, D.F.) https://t.co/Gy62Jt5d52",19.38210485,-99.23645163,positivo,0,No Depresión,Ciudad de México
232122,"@Barbara_106 Muchas felicidades, espero que te la hayas pasado excelente en tu cumpleaños. Saludos #HazteunParo",19.3427885,-99.050461,positivo,0,No Depresión,Ciudad de México
736510,Si tú me miras yo me convierto en un rey azul 👑🎩,19.199485,-99.208364,positivo,0,No Depresión,Ciudad de México
201245,@robles_oscar ¿corres mañana?   Ccp @aikher08 @pacopanto @Enrique522337,19.328383,-99.15234,neutro,0,No Depresión,Ciudad de México
506286,Dn Brozo me extraña que ande Ud. por las masmorras de la ignor... Ud tan culto y enterado... de los devenires geopolíticos y estratégicos...,19.199485,-99.208364,negativo,0,No Depresión,Ciudad de México
741237,"Tengo una mano lastimada porque me enterre un vidrio roto de una botella y la otra por un tornillo, no sé cómo :(",19.328383,-99.15234,negativo,0,No Depresión,Ciudad de México
625280,@Ozereph @mr_flintstone_1 También a usted joven. Haré algo así como una reunión de viernes pero con manteconchas y pláticas de señoras. Igual y hasta les vendo @tupperware,19.318697,-99.3055805,positivo,1,Depresión,Ciudad de México
3209,"I'm at Perfect Body in Ciudad de México, CDMX https://t.co/FDl8oYPK2w",19.3105513,-99.12797471,positivo,0,No Depresión,Ciudad de México
349813,Si supieras cuánto me dueles..,19.4320755,-99.087817,negativo,0,No Depresión,Ciudad de México
461136,México da la vuelta al marcador y derrota a Australia en su debut. #LittleLeagueWorldSeries ⚾️  México 3 - 2 Australia https://t.co/Cgqi50eWqU,19.380613,-99.1614805,positivo,0,No Depresión,Ciudad de México
855939,@blidt Las venden... en la Costeña,19.4299345,-99.2115105,neutro,0,No Depresión,Ciudad de México
434728,"No seguía al distinguido caballero, pero hace un par de días vi tuits suyos con evidentes tuits falsificados de gente de Morena y pues, mñeh 🙄 https://t.co/cG9tA2eR2y",19.4857835,-99.182126,neutro,1,Depresión,Ciudad de México
769083,"Por favor, deténlo desde tu curul. Por eso taché el nombre de Gerardo Fernández Noroña en la boleta, para que fueras Diputado y sirvieran de contrapeso a #Pejetustra.",19.380613,-99.1614805,negativo,0,No Depresión,Ciudad de México
298112,Madurez nivel: Soñé con gatitos ronrroneadores :3,19.4299345,-99.2115105,positivo,1,Depresión,Ciudad de México
3589,@U2ero @lopezobrador_ O sea que no se les consulte pero que si se gaste su dinero ?  Total que se enteren ya cuando no lo puedan recuperar ¿ verdad ?,19.432836,-99.153366,neutro,0,No Depresión,Ciudad de México
433798,Mira @ClaudiaMorgadoV esta es la cuenta de @PaulinaDeIaMora,19.380613,-99.1614805,positivo,0,No Depresión,Ciudad de México
184191,Platicaba en la mañana y me veía sorprendida mi mamá cuando le decía que la única solución que puede pretender resolver los problemas del calentamiento global es que la humanidad no tenga hijos los próximos 15 años...,19.328383,-99.15234,positivo,0,No Depresión,Ciudad de México
388843,"Previo a una #entrevista que puede ser productiva. Buscar opciones debe ser el sello #profesional del siglo XXI, pues el #éxito es de se tiene que salir a buscar. #PragetCoach https://t.co/jhcau9yd0S",19.199485,-99.208364,positivo,0,No Depresión,Ciudad de México
812343,"@Patriciomonero @emilozrod @boell_MXCA Felicidades monero!! Oye, cuál de los 3 eres tú? Perdón por la broma.",19.4857835,-99.182126,positivo,1,Depresión,Ciudad de México
32570,Ahí la llevan mis @OlmecasTabasco ganándole a los @DiablosRojosMX ⚾⚾⚾ mañana no me los pierdo en el Fray Nano 😍😍😍,19.328383,-99.15234,positivo,0,No Depresión,Ciudad de México
400409,Algo de lo mejor menos las canciones de la señora @yuri se va espantar de la serie jaja,19.4299345,-99.2115105,positivo,0,No Depresión,Ciudad de México
348774,@vision6913 En @corazondemaguey en Coyoacán,19.318042,-99.2480095,neutro,0,No Depresión,Ciudad de México
790352,Casual te coge sin piedad a la mínima provocación y luego te manda mensajito de “best friends” JAJAJAJAJAJAJA NO SEAS MAMÓN.,19.328383,-99.15234,positivo,0,No Depresión,Ciudad de México
190290,@amnesiackid Me fui a MTY la semana pasada jeje 😎,19.4299345,-99.2115105,positivo,0,No Depresión,Ciudad de México
754784,"@Subpoeta Pero si desaparece, cualquier patrón determinará cuanto te paga por hora, creo que sería conveniente que en verdad sea autónoma a cualquier interés comercial y político.",19.318042,-99.2480095,negativo,0,No Depresión,Ciudad de México
96929,Acaba de publicar una foto en Ángel de la Independencia https://t.co/QKcjUMqz9o,19.42724074,-99.16711792,positivo,0,No Depresión,Ciudad de México
96309,"- A nuestros futuros amigos les voy a contar que cuando te emputabas, quitabas tu foto de WhatsApp y dabas de baja tu Facebook 1 año 🤔 #PasiónyOrgullo",19.318042,-99.2480095,negativo,1,Depresión,Ciudad de México
868363,"🤓📊📈 (@ Bolsa Mexicana de Valores - @bmvmercados in Mexico City, DF) https://t.co/07q9nVPS4j",19.4295035,-99.16414302,positivo,0,No Depresión,Ciudad de México
646916,"@javieraparicio Discutir? No tiene caso, a la prensa fifí nada le va a gustar. Para eso les pagan.",19.4857835,-99.182126,negativo,1,Depresión,Ciudad de México
374769,😄 Lyla tiene una nueva cobijita! 😂 https://t.co/8DKjtknrkv,19.318042,-99.2480095,positivo,0,No Depresión,Ciudad de México
741733,"#meximoron concluye hoy su primer fase de exhibición.  Reanuda actividades pronto con nuevas pláticas y talleres alrededor de los temas de intervención, soberanía, frontera y migración.  Aprovechen a verla en el @museointervenciones Hoy domingo entrada libre hasta las 18:00 hrs. https://t.co/e1gQO9RjQh",19.35459,-99.148753,positivo,1,Depresión,Ciudad de México
316007,"La neta no, no me gustas y dudo muchísimo que pueda pasar en el futuro...",19.4320755,-99.087817,negativo,0,No Depresión,Ciudad de México
478052,"INACIPE (@ Instituto Nacional de Ciencias Penales in Tlalpan, Distrito Federal) https://t.co/9C14LZZ9Ft https://t.co/4gD4yKEXMe",19.2865233,-99.16570137,positivo,0,No Depresión,Ciudad de México
30819,"@ric_cowboys Simón, y te hacen correr como keniano.",19.4299345,-99.2115105,positivo,0,No Depresión,Ciudad de México
200531,"#SiMeDicenNoVengo  A Dios lo que es de Dios, y al Cesar lo que es del Cesar!!!",19.380613,-99.1614805,positivo,0,No Depresión,Ciudad de México
631919,@RichRuiz_ Sí te lo juro! En Polanco yo sí lo sentí 😓,19.4299345,-99.2115105,positivo,0,No Depresión,Ciudad de México
405279,"Ya no recuerdes el ayer, no pienses más en las cosas del pasado.  Dios va a hacer algo nuevo en ti🙏😍🙌",19.4299345,-99.2115105,positivo,0,No Depresión,Ciudad de México
48864,Cambiar la estructura de la filantropía #arteparaelmundo #FITSmex #Sexy #Comunicación #2agosto,19.432836,-99.153366,positivo,0,No Depresión,Ciudad de México
278810,"#ACPTnota   AMBROSÍA: La analogía entre países ricos con los países pobres   Ambrosía es una crítica a un sector de la sociedad, a los ricos; es la analogía existente entre países ricos con los países pobres.  Checa la nota por Roberto Sosa López  ◻https://t.co/HlDEOm8v9K https://t.co/EX8dcakibL",19.432836,-99.153366,positivo,1,Depresión,Ciudad de México
800076,"#PrecauciónVial por volcadura en carriles centrales de Av. Río Churubusco a la altura de Aries, Col. Prado Churubusco, servicios de emergencia acuden al lugar.",19.432836,-99.153366,neutro,0,No Depresión,Ciudad de México
214649,"Los esperamos en centro histórico, Hamburgo y Nápoles !!!",19.3427885,-99.050461,positivo,1,Depresión,Ciudad de México
775838,"Ya se puso bien darks el Corona, oyes",19.432836,-99.153366,positivo,0,No Depresión,Ciudad de México
123563,"Puedes repetir el servicio social , pero no puedes repetir un viaje. - Yo mandándo a la chingada lo de la escuela por unas vacaciones que ni merecia jajajajajajajajaja",19.318042,-99.2480095,negativo,0,No Depresión,Ciudad de México
462002,"Se registra ligera lluvia en Insurgentes y San Cosme, conduzca con cuidado. https://t.co/gHuB5BoeXl",19.432836,-99.153366,neutro,0,No Depresión,Ciudad de México
137549,"Y en efecto, mi novio es el mejor novio del mundo.  De verdad el mejor ❤️❤️❤️",19.2755645,-99.2645265,positivo,0,No Depresión,Ciudad de México
67912,@elmantis @Timburgera Doble o nada 😉,19.4299345,-99.2115105,neutro,0,No Depresión,Ciudad de México
685093,"#NoMamenMilenials ahora resulta que para que tengan un sano desarrollo deben comer todo orgánico sino corren peligro de muerte, o sea nosotros comíamos hasta 🎂 de lodo y gozamos de excelente salud!!",19.4299345,-99.2115105,negativo,1,Depresión,Ciudad de México
803162,@polografo Una cosa es ser homosexual y otra muy diferente ser pederasta.,19.4299345,-99.2115105,positivo,0,No Depresión,Ciudad de México
251452,"Habrá pausa... (@ Los Panchos in Miguel Hidalgo, Ciudad de México, DF, México D.F. w/ @rafaellizarraga @oscaramador) https://t.co/vhttypGnlG",19.42535102,-99.17737931,positivo,1,Depresión,Ciudad de México
740171,"@HombreRevolver No es vejez, es madurez, es crecimiento, es cambio.",19.380613,-99.1614805,neutro,0,No Depresión,Ciudad de México
134492,Mi vida en color rosa 😊💻📱👝📒🖊️🤤🤭🤭🤭 https://t.co/SJkg10L0HP,19.380613,-99.1614805,positivo,0,No Depresión,Ciudad de México
874390,"Juntas en las buenas, malas y en todas!!!!!!!! Love You!!!! 😘💕❤ @LilianaRiveraV1 @gabygz2 https://t.co/lVH6cn2CBU",19.318042,-99.2480095,positivo,1,Depresión,Ciudad de México
834664,"@TheFilologist @UCS_CDMX @SSP_CDMX Buen día, se canaliza a @UCS_CDMX y #TránsitoCDMX para la atención correspondiente.",19.432836,-99.153366,positivo,0,No Depresión,Ciudad de México
26596,Estamos en el proceso final de producción del disco. Muy pronto podrán escucharlo 🌈🖤,19.432836,-99.153366,positivo,0,No Depresión,Ciudad de México
297944,Somos TU y YO. ❤️👫❤️ en Bosque de Chapultepc https://t.co/8gOy3HrIMP,19.4246821,-99.1843981,positivo,0,No Depresión,Ciudad de México
759267,"@lopezobrador_ Me cagá las personas con una incapacidad de decisión, para eso te eligieron, si tu crees que es un proyecto que no vale madre, ¡¡pues cancelalo!! tienes a no se cuantos trabajadores con los huevos en el cogote esperando a ver si se quedan sin trabajo o no. Toma una decisión ya!!",19.380613,-99.1614805,negativo,0,No Depresión,Ciudad de México
294769,@ieieMBluz Jajaja súper si y en otros eventos que haya  😂😂,19.3427885,-99.050461,positivo,0,No Depresión,Ciudad de México
463056,Ojalá que lo encuentren 😞,19.4299345,-99.2115105,negativo,0,No Depresión,Ciudad de México
319205,@adtmex  ¿Nos puedes ayudar con el reporte de una alarma?,19.432836,-99.153366,neutro,0,No Depresión,Ciudad de México
82659,@DosCejasPoblads Es lo que digo...,19.318042,-99.2480095,neutro,0,No Depresión,Ciudad de México
579937,Mira @Claudiashein sigues durmiendo tranquila?  Ojalá a tus amigos los moneros le den me gusta como a todo lo que públicas  Cc. @monerorape,19.4320755,-99.087817,positivo,0,No Depresión,Ciudad de México
671350,AMLO publica el Plan Maestro de Santa Lucía; requiere 67 mmdp en 23.2 kilómetros de aeropuerto. #DemocraciaParticipativa https://t.co/XgepqJu4vT,19.318042,-99.2480095,neutro,0,No Depresión,Ciudad de México
824874,'hospitalizado' es ahora una tendencia en #MexicoCity  https://t.co/rKCcQToRui https://t.co/ldOlPkdYfQ,19.4285,-99.1277,neutro,0,No Depresión,Ciudad de México
686305,"«que amor quiere que no duerma, que esté despierta y penando»  #LeerPoesia #EugenioDeSalazar",19.380613,-99.1614805,positivo,0,No Depresión,Ciudad de México
232280,"Increíble, y todos los que como halcones vigilantes pegan de gritos con cada movimiento del pg no dicen ni pio, que curioso, será que hasta allá no les alcanza la vista? 🧐",19.4857835,-99.182126,negativo,0,No Depresión,Ciudad de México
339393,@Chivas vean la entrada que le hacen a Godinez la bestia extranjera y el arbitrucho no marca nada para que vean como protegen a los extranjeros. Que verguenza del dizque Fut-Bol. De México.,19.328383,-99.15234,negativo,0,No Depresión,Ciudad de México
558624,Todos los fans de la #NALCS rezando ayer para que TSM ganara.,19.4320755,-99.087817,positivo,0,No Depresión,Ciudad de México
226348,"Hoy, el rumbo de nuestro país. Hoy, de nuevo veremos la luz del día. Sale de la cárcel #elbaesthergordillo para embellecer el futuro de nuestro país. 🧟‍♀️ @ Cefereso No. 16 Penal Femenil… https://t.co/wsXbBvdR38",19.3962354,-99.2107923,positivo,0,No Depresión,Ciudad de México
392041,"Tenemos una gran tarea en el país, sacar adelante a nuestro campo, la tierra es lo más valioso! Desde las organizaciones apoyaremos a rescatar el campo https://t.co/sse7PGynEP",19.4299345,-99.2115105,positivo,0,No Depresión,Ciudad de México
734289,¡Hoy en lapacadiseno! 😎 Gracias @ger_pipiripau por la pic! Tragos + DJ’s + Diseño  Colima 25A Roma Norte CDMX #CrystalsFromSwarovski #EFD ¡PQB+! with Swarovski® crystals.  #LaRomaMx… https://t.co/DaASsYml50,19.42104,-99.15489,positivo,0,No Depresión,Ciudad de México
823002,"@marthadelgado @SSP_CDMX @UCS_CDMX Lamentamos la confusión, pedimos a @UCS_CDMX verificar recurrencia, así mismo, ponemos a su disposición el número 5208-9898 para indicar la información adicional de vehículo.",19.432836,-99.153366,negativo,0,No Depresión,Ciudad de México
193840,Muy en especial las payasas pasivas @iangarcial @wapayasosmx CARAS Y NALGAS DE PASIVAS TODAS LAS CHICAS #HORRIPIJOTAS #WAPASIVAS,19.199485,-99.208364,positivo,0,No Depresión,Ciudad de México
303233,Mamaaaaaaaaaaaaaaaaá: ¿es muy tarde para abortarme?,19.318042,-99.2480095,positivo,0,No Depresión,Ciudad de México
637106,#FutEnTDN siguiéndote a todas partes ! @Cruz_Azul_FC https://t.co/bJeZyw4hk6,19.298191,-99.175685,positivo,0,No Depresión,Ciudad de México
723424,Tan nublado como para película de terror #LaProfeciaDelNoConfirmado #peliculadeterror en Parroquia Del Niño Jesús Del Amor Y San Juan Bautista. https://t.co/WTRNJdWC7X,19.461985,-99.11393596,positivo,1,Depresión,Ciudad de México
333594,Y quiere como si fueras a salvarme la vida. #EnMisRetinas #BlueBaby #BlueHair en Parque Delta Oficial https://t.co/DWwcakL6XF,19.40269935,-99.15434938,positivo,1,Depresión,Ciudad de México
598320,⚽ Inicia el partido de nuestra categoría Sub20 ⚽   #PUMvsQRO | SUB20 | 0 - 0 | #PorTiUniversidad #SoyDePumas,19.331964,-99.192145,positivo,0,No Depresión,Ciudad de México
45438,"@yaparate40 @frankymostro Gracias por darnos buenos consejos del mundo motor, contigo aprendí a elegir el mejor auto y atreverme a meterle mano al coche, se extrañará escucharte diario, un abrazo mi estimado mostro!!! @TamaraVargasOf",19.4299345,-99.2115105,positivo,0,No Depresión,Ciudad de México
134287,"@jorgeramosnews @acostanaranjo Pero necesario ,yo creo dará muy buenos resultados y no es por defenderlo pero en el PRI obedeces por que obedeces y Bartlett siempre tuvo jefe !!!!!",19.4299345,-99.2115105,neutro,0,No Depresión,Ciudad de México
153610,"Hasta donde puede llegar la lambisconería, ahora resulta que todos votaron por el peje!!!😳",19.432836,-99.153366,negativo,0,No Depresión,Ciudad de México
777564,Yo como rico y sin engordar 💙,19.4299345,-99.2115105,positivo,0,No Depresión,Ciudad de México
719511,"@brizuela27_cone @JLHB33 @Chivas Ustedes como jugadores y como equipo mi apoyo sincero, pero por favor no se mezclen con la mafiosa directiva que tienen! Alejense de @jorgevergara @JLHB33 y del Jr que me tiene bloqueado... https://t.co/KntJEodnjb",19.328383,-99.15234,neutro,0,No Depresión,Ciudad de México
596867,Y así es 😍,19.318042,-99.2480095,positivo,0,No Depresión,Ciudad de México
437182,"@PepeYTeo Cabe mencionar que en cada vídeo @Ricardo_Peralta es un meme viviente, sus caras que hace al comentar algo @CesarTeo hacen que uno no pare de reír... 😂👇 https://t.co/rHAbl7ACjY",19.4299345,-99.2115105,positivo,1,Depresión,Ciudad de México
321258,@ParejaPach Cuál es su perfil deseado para poder gozarla y disfrutarla asta el delirio,19.3427885,-99.050461,positivo,0,No Depresión,Ciudad de México
301038,"Hola amigos, ¿conocen a alguien? https://t.co/1o0ibH9sIU",19.318042,-99.2480095,positivo,0,No Depresión,Ciudad de México
64485,Mi playera de fútbol para el partido del trabajo 🤗 https://t.co/4UYJVvi2pv,19.318042,-99.2480095,positivo,0,No Depresión,Ciudad de México
252997,"@zolanzky Yo creo que no la está viendo a ella, al menos que tenga estrabismo.",19.4857835,-99.182126,positivo,0,No Depresión,Ciudad de México
485194,"De regresoooo🤤🤤🤤🤤 (@ La Casa de las Enchiladas in México, DF) https://t.co/iWg63rQ9px https://t.co/xGnQwCrp0a",19.42297672,-99.17367683,positivo,0,No Depresión,Ciudad de México
723050,"@EPN Sr. Presidente de México, Peña. Y cuantos miles de millones $$ nos costará escuchar sus mentiras? México es seguro? Entonces porque lo cuidan 6 mil elementos del EMP?? Yo pago, voy al #IMSS y ni medicinas hay. Usted MIENTE. Terrible inseguridad vivimos. #FelizSábado Rt https://t.co/uLH3FMcBvj",19.4299345,-99.2115105,negativo,0,No Depresión,Ciudad de México
877261,"no, @VannesaCo no!!! no vale la pena tratar de vivir en el yermo de New Vegas! 😫🤖🙃",19.4299345,-99.2115105,positivo,0,No Depresión,Ciudad de México
890735,@IvarMarichar Jueves o viernes manda dm,19.399101,-99.096496,positivo,0,No Depresión,Ciudad de México
520462,@WiattPs ¿Qué es eso?,19.318042,-99.2480095,neutro,0,No Depresión,Ciudad de México
735955,Que bonitas esas reuniones en donde no hay necesidad de “bailar”.,19.199485,-99.208364,positivo,0,No Depresión,Ciudad de México
23779,"@889romo alerta Amber de bici, hay una bici abandonada en ejército nacional en dirección a periferico pasando el hospital español. https://t.co/baMNL2GHIN",19.43821333,-99.19870833,positivo,0,No Depresión,Ciudad de México
302014,Porque un concepto no es suficiente... Hay que saberlo hacer!  @CharlyDiaz69 Coyoacán Hombre a Hombre mejorado.  @revistaboysmx en Bar Osil https://t.co/0vrHOTt9zP,19.34707639,-99.16339735,positivo,0,No Depresión,Ciudad de México
697477,Me frustra porque estoy esperando a que me atiendan y no puedo ver ni un videito ☹️☹️☹️,19.4857835,-99.182126,negativo,0,No Depresión,Ciudad de México
200692,"Si eres de Poza Rica, te gusta ATL y quisieras conocerlo mañana mándame mensaje ahora. 😏❤️⚡",19.4299345,-99.2115105,positivo,0,No Depresión,Ciudad de México
683022,#EntroEnPánicoCuando alguien agarra mi celular,19.4857835,-99.182126,positivo,0,No Depresión,Ciudad de México
197527,"@alhyardz Hola,Oye No sabía que los ángeles también usaban #Twitter 💋💚😊 Con Dedicación Especial feliz MARTES  y buena vibra 🍫 crack💐🌻🏍️",19.318042,-99.2480095,positivo,1,Depresión,Ciudad de México
165817,Urgen unos #drinks no @danielvalenciat alerdov #noche #cena #music #dj vamos a padellasa #quienseapunta #AsiLasCosas en Padella San Ángel https://t.co/bCRk2nsBGs,19.34701364,-99.18898923,positivo,0,No Depresión,Ciudad de México
42415,Claro incómodo !! Y mucha inseguridad e impunidad y si autodefensas en muchos municipios xq no hay estado,19.432836,-99.153366,negativo,0,No Depresión,Ciudad de México
608154,@VisiondeMoto Habría q te organizar una rodada para protestar contra esos imbéciles y exigir q la ley permita q se les denuncie de manera expedita porque es por la impunidad q hacen lo q quieren en perjuicio de todo mundo.,19.380613,-99.1614805,negativo,1,Depresión,Ciudad de México
341330,A que hora le llega ALV Cardozo ? #Chivas 😡😭,19.4299345,-99.2115105,neutro,0,No Depresión,Ciudad de México
5331,"@AlRangelS Igual que espontáneamente hablo y a hablado Mancuso sin tener el mismo eco de MonoLeche, son muchos espontáneos...",19.432836,-99.153366,negativo,0,No Depresión,Ciudad de México
716722,La única razón para romper la dieta #sanagustindelascuevas en Explanada Del Centro De Tlalpan https://t.co/Avrpiyw8jN,19.2886632,-99.16697479,positivo,0,No Depresión,Ciudad de México
754228,"Demos gracias por el mes y por el que viene!!! (@ Mas Vida CDMX in Ciudad de México, CDMX) https://t.co/8Kkjc2TyPN",19.4065909,-99.16919077,positivo,0,No Depresión,Ciudad de México
693238,"No hay nadie como @NuevaAlianza para defender: la educación, los derechos de las mujeres y de lxs jóvenes, la inclusión de los grupos vulnerables; la sustentabilidad, la transparencia y el desarrollo económico del país. #NuevaAlianzaSigue #IdentidadNuevaAlianza https://t.co/Jos8r2YhzP",19.432836,-99.153366,positivo,0,No Depresión,Ciudad de México
210817,Renis me hizo un sándwich :) y le puso aguacatito 😍,19.380613,-99.1614805,positivo,0,No Depresión,Ciudad de México
131926,@MarcusRashford es el nuevo No. 10 del @ManUtd #FutbolxESPN,19.199485,-99.208364,positivo,1,Depresión,Ciudad de México
296703,@TeatroINBA @museoAmodernoMX Se compran los boletos con anticipación?,19.328383,-99.15234,neutro,0,No Depresión,Ciudad de México
